asset,strategy,n_bars,total_return,ann_return,sharpe,max_dd,trades,win_rate
BTC,BuyAndHold,1604,0.6100436959874691,0.11446689885978012,0.4680606518770865,-0.6688647649626371,1,1.0
BTC,EMACross,1604,-0.25835623045822387,-0.06575203739720448,0.12165673334800398,-0.7061428171149127,67,0.2537313432835821
BTC,EMACrossTrailingStop,1604,-0.21577025410536,-0.053806564841585414,0.03869510425576159,-0.5420022942818654,66,0.5454545454545454
BTC,BBMeanReversion,1604,-0.45145630895625544,-0.1277199881951453,-0.3304015629072194,-0.5724334875184951,23,0.30434782608695654
ETH,BuyAndHold,1604,-0.43767914718502343,-0.12278232296858782,0.15948742477719802,-0.7409458808541728,1,0.0
ETH,EMACross,1604,-0.6162486227973558,-0.19582970995376225,0.029601194934110047,-0.909464291009174,69,0.2608695652173913
ETH,EMACrossTrailingStop,1604,-0.4175784357887815,-0.11574332555218958,-0.0354685148306134,-0.6949270008170298,68,0.4852941176470588
ETH,BBMeanReversion,1604,-0.5501608046166115,-0.1662207794144417,-0.19624366363750978,-0.7183106033303492,27,0.3333333333333333
LTC,BuyAndHold,1604,-0.644509774381385,-0.2097070810883398,0.05952778823328374,-0.7173714178111904,1,0.0
LTC,EMACross,1604,-0.9697148802090535,-0.5487736561946146,-0.7053793392599181,-0.980542351159261,77,0.24675324675324675
LTC,EMACrossTrailingStop,1604,-0.8361337945862379,-0.3373987313915551,-0.5629128523482962,-0.8708571966241541,76,0.39473684210526316
LTC,BBMeanReversion,1604,0.49847350233600385,0.09640250347597079,0.4331866861123713,-0.425663191154233,23,0.6086956521739131
