name,ann,ann_vol,sharpe,max_dd,total,scale
BH-50/50-BTC-XAU,0.5393794586466969,0.36535072778735034,1.3657121516074204,-0.48635992889701674,5.078161433372625,native
STRAT-pair (native avg),0.11242541380411941,0.08359547770150921,1.3161656369077697,-0.09205677915533106,0.8961773335096879,native
BH-XAU,0.2819407433917491,0.20558013208030002,1.310267179845877,-0.21366775717920927,1.8247283764071724,native
BH-1/3-BTC-ETH-XAU,0.6183911379031946,0.5089629531135589,1.2051376953982564,-0.5951329629909399,6.493999778854265,native
STRAT-EMALong-50-100/XAU,0.2096444746616708,0.177736327734679,1.1587276011308594,-0.19840708883997882,1.2171944146009692,native
STRAT-triplet (native avg),0.22866658073315627,0.20645716775310075,1.1004378294465165,-0.279873495779037,2.44424728151383,native
BH-ETH,0.6839918200409913,0.817098864587438,1.0528876747628988,-0.7936483452638048,21.838100253967543,native
STRAT-BBevent/LTC,0.07651821703962991,0.0763635703880999,1.0033267630951839,-0.09225502068703073,0.556739805653192,native
BH-BTC,0.5170730601587044,0.6086376308245781,0.9951116423744032,-0.7666881595920358,11.20491856772209,native
STRAT-EMACross/BTC,0.3226345796608965,0.6058595708212655,0.7617752769653211,-0.7061428171149127,4.36172655713288,native
BH-LTC,0.1082160753556054,0.879956928905139,0.5633476167356384,-0.8888142513967582,0.8529723217804528,native
